Id,highlighted,text,ru_trans,tags,prefix,suffix,highlighted_html,suffix_html,position_start,position_end,start_container,end_container,chapter,ch_num,lang,overlap,img_src,alt_text_eng,dog_sound
iV6hMqtkEeyw9NuWsnyvEg,Месяц ясен,"This expression hides a double meaning, as the word ""mesiats"" may mean both ""moon"" and ""month."" The author is at once suggesting that ""the month is clear"" (a rather indeterminate time setting) and that ""the moon shines."" The formulation recalls also Nikolai Gogol's *Diary of a Madman* (1834): ""I don't remember the date. There was also no month"" (Ostanin 10). Finally, this opening sets up the novel's fixation on seasonal time markers, as opposed to those created by humans.","Данное выражение скрывает в себя по крайней мере два значения: подразумевается либо месяц календаря, либо фаза луны. В первом случае это довольно неопределенное указание на время года, а во втором случае описывается, как луна сияет на небе. Формулировка напоминает ""Записки сумасшедшего"" Н. Гоголя: ""Числа не помню. Месяца тоже не было"" (Останин 10). К тому же, такое начало книги подсказывает, что в романе время движется согласно природным знакам времен года, оно не измеряется человеческими инструментами, приборами.","['explanatory', 'pun', 'intertextuality', 'time']","        
  01. Заитильщина
  
  ",", за числами не уследишь, год ны",Месяц ясен,", за числами не уследишь, год ны",639,649,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],01. ЗАИТИЛЫЦИНА,01,ru,none,[],[],False
mEeBYtNoEe-ZORNE80Nj6A,"Месяц ясен, за числами не уследишь","In a letter to his publisher Karl Proffer dated March 23, 1979, Sokolov wrote to say that he had decided keep the novel's title as *Between Dog and Wolf* (Box 1, Folder 5, Sasha Sokolov Collection, UC Santa Barbara Special Research Collections).","23 марта 1979 года Соколов написал письмо своему издателю Карлу Профферу, чтобы уведомить того о своем решении оставить ""Между собакой и волком"" названием романа (Box 1, Folder 5, Sasha Sokolov Collection, UC Santa Barbara Special Research Collections).",['archive'],"        
  01. Заитильщина
  
  ",", год нынешний. Гражданину 
Сидо","Месяц ясен, за числами не уследишь",", год нынешний. Гражданину 
Сидо",639,673,/div[1]/main[1]/article[1]/p[1]/hypothesis-highlight[1]/hypothesis-highlight[1]/hypothesis-highlight[1],/div[1]/main[1]/article[1]/p[1]/hypothesis-highlight[3]/hypothesis-highlight[1]/hypothesis-highlight[1],01. ЗАИТИЛЫЦИНА,01,ru,full,[],[],False
6FL--LeFEe2Rk8PqV6Awog,"Месяц ясен, за числами не уследишь, год нынешний","Elena Kravchenko writes: ""Sokolov differs from both the avant-garde aestheticization of the real and the conceptualist disclosure of the hyper-real. Firstly, reality is a priori presented in a reflected form through a series of artistic representations. Secondly, in his engagement with these signs, Sokolov does not simply abstract them from their 'original' function or context, but grounds them in their original medium: language. [...]. A pun, produced through a play on the homonym 'mesiats', throws off the reader, forcing him to reflect on the plurality of signifieds covered by a single name. By using the adjective 'iasnyi' (clear), with its indication of both clarity as colour and a level of intelligibility, the narrator provokes a double entendre, thus revealing the basis of the notion of time: the abstract category of time is grounded in a spatial (alberit heavenly) body"" (*The Prose* 71).","Елена Кравченко пишет: ""Соколов отличается как от авангардной эстетизации реального, так и от концептуалистического раскрытия гиперреального. Во-первых, реальность априори представлена ​​в отраженной форме через ряд художественных представлений. Во-вторых, в своем взаимодействии с этими знаками Соколов не просто абстрагирует их от их ""исходной"" функции или контекста, но обосновывает их в их изначальной среде: языке. […]. Каламбур, произведенный посредством игры с омонимом ""месяц"", сбивает читателя с толку, заставляя его размышлять о множественности охватываемых одним именем означаемых. Используя прилагательное ""ясный"" с его указанием как выразительность цвета, так и на уровень понятности, рассказчик провоцирует двусмысленность, тем самым раскрывая основу понятия времени: абстрактная категория времени обосновывается в пространственном (хотя и небесном) теле"" (Kravchenko ""The Prose"", 71).",['language'],"        
  01. Заитильщина
  
  ",". Гражданину 
Сидор Фомичу Пожил","Месяц ясен, за числами не уследишь, год нынешний",". Гражданину 
Сидор Фомичу Пожил",639,687,/div[1]/main[1]/article[1]/p[1]/hypothesis-highlight[1],/div[1]/main[1]/article[1]/p[1]/hypothesis-highlight[3],01. ЗАИТИЛЫЦИНА,01,ru,full,[],[],False
GETM3PAVEe2p7xsh907Cmg,"Месяц ясен, за числами не уследишь, год нынешний. Гражданину 
Сидор Фомичу Пожилых с уважением Зынзырэлы Ильи Петрикеича — Заитильщина","Alexey Salomatin and Artem Skvortsov identify this opening line as a reference to the apocryphal ""Correspondence between the Turkish Sultan and the Cossacks"" (348). Read the original letter [here](https://ru.wikisource.org/wiki/%D0%9F%D0%B8%D1%81%D1%8C%D0%BC%D0%BE_%D0%B7%D0%B0%D0%BF%D0%BE%D1%80%D0%BE%D0%B6%D1%86%D0%B5%D0%B2_%D1%82%D1%83%D1%80%D0%B5%D1%86%D0%BA%D0%BE%D0%BC%D1%83_%D1%81%D1%83%D0%BB%D1%82%D0%B0%D0%BD%D1%83). They note that the novel's opening begins with a reference to the letter's *ending*.","А. Саломатин и А. Скворцов определяют эту начальную строку как ссылку на апокрифическое ""Письмо запорожцев турецкому султану"" (Salomatin, Skvortsov 348). Прочитать оригинал письма можно [здесь](https://ru.wikisource.org/wiki/Письмо_запорожцев_турецкому_султану). Авторы статьи отмечают, что начало романа ссылается на финал письма.",['intertextuality'],"        
  01. Заитильщина
  
  ",". Разрешите уже, приступаю. Граж","Месяц ясен, за числами не уследишь, год нынешний. Гражданину 
Сидор Фомичу Пожилых с уважением Зынзырэлы Ильи Петрикеича — Заитильщина",". Разрешите уже, приступаю. Граж",639,773,/div[1]/main[1]/article[1]/p[1]/hypothesis-highlight[1]/hypothesis-highlight[1],/div[1]/main[1]/article[1]/p[1]/hypothesis-highlight[12],01. ЗАИТИЛЫЦИНА,01,ru,full,[],[],False
9bFoDsGWEeyAvashHwkiCA,за числами не уследишь,"Typical sample of Sokolov's non-linear conception of time. See, for instance, Borden’s “Time Backward!” and Sokolov’s *School for Fools* and *Palisandria*.","Классический пример нелинеарного восприятия времени (см., например, R.C. Borden, Time, backward!: Sasha Sokolov and Valentin Kataev, и *Школа для дураков* и *Палисандрия* Соколова)","['time', 'self-reference', 'intertextuality']","1. Заитильщина
  
  Месяц ясен, ",", год нынешний. Гражданину 
Сидо",за числами не уследишь,", год нынешний. Гражданину 
Сидо",651,673,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],01. ЗАИТИЛЫЦИНА,01,ru,none,[],[],False
nfo4_NNoEe-gP-_iPIP2Kg,"The moonth’s clear, no catchin up with the dates","In a letter to his publisher Carl Proffer dated March 23, 1979, Sokolov wrote to say that he had decided keep the novel's title as *Between Dog and Wolf* (Box 1, Folder 5, Sasha Sokolov Collection, UC Santa Barbara Special Research Collections).",,['archive'],". Discords Beyond the Itil
  
  ",", the 
year’s current. To Citize","The moonth’s clear, no catchin up with the dates",", the 
year’s current. To Citize",652,700,/div[1]/main[1]/article[1]/p[1]/hypothesis-highlight[1],/div[1]/main[1]/article[1]/p[1]/hypothesis-highlight[6]/hypothesis-highlight[1],01. DISCORDS BEYOND THE ITIL,01,en,full,[],[],False
f88ghEwqEe63d1sYlfmXuA,"The moonth’s clear, no catchin up with the dates, the 
year’s current. To Citizen Sidor Fomich Pozhilykh, 
with all due respect, Ilya Petrikeich Zynzyrela’s Discords Beyond the Itil","Alexey Salomatin and Artem Skvortsov identify this opening line as a reference to the apocryphal ""Correspondence between the Turkish Sultan and the Cossacks"" (248). Read the original letter [here](https://ru.wikisource.org/wiki/%D0%9F%D0%B8%D1%81%D1%8C%D0%BC%D0%BE_%D0%B7%D0%B0%D0%BF%D0%BE%D1%80%D0%BE%D0%B6%D1%86%D0%B5%D0%B2_%D1%82%D1%83%D1%80%D0%B5%D1%86%D0%BA%D0%BE%D0%BC%D1%83_%D1%81%D1%83%D0%BB%D1%82%D0%B0%D0%BD%D1%83). They note that the novel's opening begins with a reference to the letter's *ending*.",,['intertextuality'],". Discords Beyond the Itil
  
  ",". With Your permission, I commen","The moonth’s clear, no catchin up with the dates, the 
year’s current. To Citizen Sidor Fomich Pozhilykh, 
with all due respect, Ilya Petrikeich Zynzyrela’s <em>Discords Beyond the Itil","</em>. With Your permission, I c",652,833,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1]/em[1]/hypothesis-highlight[1]/hypothesis-highlight[1],01. DISCORDS BEYOND THE ITIL,01,en,partial,[],[],False
aZVo9sogEeyuASe80ymatQ,moonth’s clear,"A combination of ""moon"" and ""month."" This expression hides a double meaning, as the word ""mesiats"" may mean both ""moon"" and ""month"" in Russian. The author is at once suggesting that ""the month is clear"" (a rather indeterminate time setting) and that ""the moon shines."" Elena Kravchenko writes: ""Sokolov differs from both the avant-garde aestheticization of the real and the conceptualist disclosure of the hyper-real. Firstly, reality is a priori presented in a reflected form through a series of artistic representations. Secondly, in his engagement with these signs, Sokolov does not simply abstract them from their 'original' function or context, but grounds them in their original medium: language. [...]. A pun, produced through a play on the homonym 'mesiats', throws off the reader, forcing him to reflect on the plurality of signifieds covered by a single name. By using the adjective 'iasnyi' (clear), with its indication of both clarity as colour and a level of intelligibility, the narrator provokes a double entendre, thus revealing the basis of the notion of time: the abstract category of time is grounded in a spatial (alberit heavenly) body"" (*The Prose* 71).",,['language'],"scords Beyond the Itil
  
  The ",", no catchin up with the dates, ",moonth’s clear,", no catchin up with the dates, ",656,670,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],01. DISCORDS BEYOND THE ITIL,01,en,none,[],[],False
UwanZsohEeynRifAk5SJxA,no catchin up with the dates,"Typical sample of Sokolov's non-linear conception of time. See, for instance, Borden’s “Time Backward!” and Sokolov’s *A School for Fools* and *Astrophobia*.",,"['intertextuality', 'self-reference', 'time']","e Itil
  
  The moonth’s clear, ",", the 
year’s current. To Citize",no catchin up with the dates,", the 
year’s current. To Citize",672,700,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],01. DISCORDS BEYOND THE ITIL,01,en,none,[],[],False
-kdzqMogEey375dScSgH1w,catchin,Translator Alexander Boguslawski has rendered the voice of Ilya in this colloquial manner to approximate the original Russian narration's style.,,"['language', 'character']","til
  
  The moonth’s clear, no "," up with the dates, the 
year’s ",catchin," up with the dates, the 
year’s ",675,682,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],01. DISCORDS BEYOND THE ITIL,01,en,none,[],[],False
